iter	Passed	Remaining
538	720	616
539	723	615
540	725	615
541	728	615
542	731	615
543	733	615
544	735	614
545	738	613
546	740	613
547	742	612
548	745	612
549	747	611
550	749	611
551	752	610
552	754	609
553	756	609
554	758	608
555	760	607
556	763	606
557	765	606
558	767	605
559	769	604
560	771	603
561	774	603
562	776	602
563	779	602
564	781	602
565	784	601
566	786	600
567	789	600
568	792	600
569	794	599
570	796	598
571	798	597
572	800	596
573	803	595
574	805	595
575	807	594
576	809	593
577	812	592
578	814	591
579	816	591
580	818	590
581	821	589
582	824	589
583	826	588
584	828	587
585	830	586
586	833	586
587	836	585
588	838	584
589	840	584
590	843	583
591	845	582
592	847	581
593	850	581
594	853	580
595	855	580
596	857	579
597	860	578
598	862	577
599	864	576
600	867	576
601	870	575
602	872	574
603	874	573
604	877	572
605	880	572
606	882	571
607	885	570
608	887	570
609	890	569
610	892	568
611	895	567
612	898	566
613	900	565
614	902	565
615	905	564
616	907	563
617	910	562
618	913	562
619	915	561
620	917	560
621	920	559
622	922	558
623	925	557
624	928	556
625	931	556
626	933	555
627	936	554
628	938	553
629	942	553
630	944	552
631	946	551
632	949	550
633	951	549
634	954	548
635	956	547
636	959	546
637	962	545
638	963	544
639	966	543
640	968	542
641	971	541
642	974	540
643	976	540
644	979	539
645	982	538
646	984	537
647	987	536
648	990	535
649	992	534
650	994	533
651	997	532
652	999	531
653	1002	530
654	1005	529
655	1007	528
656	1010	527
657	1012	526
658	1014	525
659	1017	524
660	1020	523
661	1022	522
662	1025	521
663	1027	519
664	1029	518
665	1032	517
666	1034	516
667	1037	515
668	1039	514
669	1041	512
670	1043	511
671	1045	510
672	1048	509
673	1050	508
674	1053	507
675	1056	506
676	1058	505
677	1062	504
678	1065	503
679	1068	502
680	1070	501
681	1072	500
682	1075	499
683	1078	498
684	1080	496
685	1082	495
686	1085	494
687	1087	493
688	1089	491
689	1092	490
690	1094	489
691	1096	488
692	1098	486
693	1100	485
694	1103	484
695	1105	482
696	1108	481
697	1110	480
698	1112	479
699	1114	477
700	1116	476
701	1119	475
702	1122	474
703	1124	472
704	1127	471
705	1129	470
706	1132	469
707	1134	468
708	1137	467
709	1139	465
710	1142	464
711	1144	462
712	1146	461
713	1148	460
714	1151	458
715	1153	457
716	1156	456
717	1158	454
718	1160	453
719	1163	452
720	1165	450
721	1167	449
722	1170	448
723	1172	446
724	1174	445
725	1177	444
726	1179	442
727	1182	441
728	1184	440
729	1187	439
730	1189	437
731	1192	436
732	1194	435
733	1196	433
734	1199	432
735	1201	430
736	1203	429
737	1205	428
738	1207	426
739	1210	425
740	1212	423
741	1214	422
742	1216	420
743	1219	419
744	1221	418
745	1223	416
746	1226	415
747	1228	413
748	1230	412
749	1233	411
750	1235	409
751	1237	408
752	1240	406
753	1242	405
754	1245	404
755	1248	402
756	1250	401
757	1252	399
758	1256	398
759	1259	397
760	1263	396
761	1265	395
762	1268	393
763	1271	392
764	1274	391
765	1277	390
766	1281	389
767	1284	388
768	1286	386
769	1289	385
770	1292	383
771	1294	382
772	1297	380
773	1300	379
774	1303	378
775	1305	376
776	1307	375
777	1310	373
778	1313	372
779	1315	371
780	1318	369
781	1320	368
782	1322	366
783	1325	365
784	1327	363
785	1329	362
786	1332	360
787	1334	359
788	1336	357
789	1338	355
790	1339	354
791	1341	352
792	1343	350
793	1345	349
794	1347	347
795	1349	345
796	1352	344
797	1353	342
798	1355	341
799	1357	339
800	1359	337
801	1361	336
802	1363	334
803	1365	332
804	1367	331
805	1369	329
806	1371	327
807	1373	326
808	1375	324
809	1377	323
810	1379	321
811	1381	319
812	1383	318
813	1385	316
814	1387	314
815	1388	313
816	1391	311
817	1392	309
818	1395	308
819	1397	306
820	1399	305
821	1400	303
822	1402	301
823	1404	299
824	1405	298
825	1407	296
826	1409	294
827	1411	293
828	1413	291
829	1415	289
830	1417	288
831	1419	286
832	1421	284
833	1423	283
834	1425	281
835	1427	280
836	1429	278
837	1431	276
838	1433	275
839	1435	273
840	1438	271
841	1440	270
842	1443	268
843	1445	267
844	1447	265
845	1449	263
846	1450	262
847	1453	260
848	1455	258
849	1457	257
850	1459	255
851	1461	253
852	1463	252
853	1465	250
854	1467	248
855	1469	247
856	1471	245
857	1473	243
858	1475	242
859	1477	240
860	1478	238
861	1480	236
862	1482	235
863	1484	233
864	1486	231
865	1487	230
866	1489	228
867	1491	226
868	1492	225
869	1494	223
870	1496	221
871	1498	219
872	1500	218
873	1501	216
874	1503	214
875	1505	213
876	1506	211
877	1508	209
878	1510	207
879	1511	206
880	1512	204
881	1514	202
882	1515	200
883	1517	199
884	1519	197
885	1520	195
886	1522	193
887	1524	192
888	1526	190
889	1528	188
890	1530	187
891	1531	185
892	1533	183
893	1535	182
894	1537	180
895	1539	178
896	1541	176
897	1543	175
898	1545	173
899	1546	171
900	1548	170
901	1550	168
902	1551	166
903	1553	164
904	1555	163
905	1557	161
906	1559	159
907	1561	158
908	1562	156
909	1564	154
910	1566	153
911	1568	151
912	1570	149
913	1571	147
914	1573	146
915	1575	144
916	1577	142
917	1579	141
918	1581	139
919	1583	137
920	1584	135
921	1586	134
922	1588	132
923	1591	130
924	1592	129
925	1594	127
926	1596	125
927	1598	124
928	1600	122
929	1602	120
930	1604	118
931	1606	117
932	1608	115
933	1611	113
934	1613	112
935	1614	110
936	1617	108
937	1619	107
938	1621	105
939	1623	103
940	1625	101
941	1626	100
942	1628	98
943	1630	96
944	1632	95
945	1634	93
946	1636	91
947	1638	89
948	1639	88
949	1641	86
950	1643	84
951	1646	83
952	1648	81
953	1651	79
954	1653	77
955	1655	76
956	1656	74
957	1658	72
958	1661	71
959	1663	69
960	1665	67
961	1667	65
962	1669	64
963	1670	62
964	1673	60
965	1675	58
966	1677	57
967	1680	55
968	1683	53
969	1685	52
970	1687	50
971	1690	48
972	1692	46
973	1695	45
974	1697	43
975	1699	41
976	1702	40
977	1704	38
978	1707	36
979	1709	34
980	1712	33
981	1714	31
982	1716	29
983	1719	27
984	1721	26
985	1723	24
986	1726	22
987	1728	20
988	1730	19
989	1732	17
990	1734	15
991	1736	14
992	1738	12
993	1741	10
994	1743	8
995	1745	7
996	1747	5
997	1749	3
998	1751	1
999	1754	0
